Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeSteps
192,Pursuer,0.104,0.115,0.781,0.142,0.137,0.00,432.00
193,Runner,0.109,0.114,0.777,0.147,0.141,0.00,387.00
194,Draw,0.108,0.113,0.778,0.147,0.149,1.26,999.00
195,Draw,0.108,0.113,0.779,0.146,0.156,1.88,999.00
196,Pursuer,0.107,0.117,0.776,0.155,0.150,0.00,541.00
197,Draw,0.107,0.117,0.777,0.146,0.147,0.00,999.00
198,Draw,0.106,0.116,0.778,0.144,0.155,0.00,999.00
199,Draw,0.106,0.116,0.779,0.153,0.160,0.00,999.00
200,Draw,0.105,0.115,0.780,0.142,0.144,9.54,999.00
201,Pursuer,0.104,0.119,0.776,0.096,0.156,0.00,11.00
202,Pursuer,0.104,0.124,0.772,0.230,0.255,0.00,7.00
203,Draw,0.103,0.123,0.773,0.151,0.149,2.42,999.00
204,Pursuer,0.103,0.127,0.770,0.176,0.141,0.00,116.00
205,Draw,0.102,0.127,0.771,0.156,0.156,0.00,999.00
206,Draw,0.102,0.126,0.772,0.146,0.150,1.56,999.00
207,Runner,0.106,0.126,0.768,0.126,0.152,2.36,118.00
208,Draw,0.106,0.125,0.769,0.137,0.139,1.70,999.00
209,Draw,0.105,0.124,0.770,0.156,0.153,0.00,999.00
210,Draw,0.105,0.124,0.771,0.156,0.151,8.04,999.00
211,Runner,0.109,0.123,0.768,0.162,0.163,2.60,572.00
212,Pursuer,0.108,0.127,0.764,0.143,0.148,0.00,692.00
213,Runner,0.113,0.127,0.761,0.155,0.147,0.00,340.00
214,Draw,0.112,0.126,0.762,0.145,0.148,0.00,999.00
215,Draw,0.112,0.126,0.763,0.130,0.151,0.54,999.00
216,Pursuer,0.111,0.130,0.759,0.000,0.000,0.00,0.00
217,Draw,0.111,0.129,0.760,0.148,0.160,19.44,999.00
218,Draw,0.110,0.128,0.761,0.160,0.138,0.00,999.00
219,Draw,0.110,0.128,0.763,0.151,0.148,1.76,999.00
220,Draw,0.109,0.127,0.764,0.154,0.144,19.98,999.00
221,Draw,0.109,0.127,0.765,0.142,0.148,7.28,999.00
222,Draw,0.108,0.126,0.766,0.140,0.153,1.38,999.00
223,Draw,0.108,0.126,0.767,0.147,0.145,11.30,999.00
224,Runner,0.112,0.125,0.763,0.000,0.000,0.00,0.00
225,Runner,0.116,0.124,0.760,0.153,0.148,0.00,969.00
226,Runner,0.119,0.124,0.757,0.147,0.150,2.26,684.00
227,Pursuer,0.119,0.128,0.753,0.142,0.150,0.00,306.00
228,Pursuer,0.118,0.132,0.750,0.146,0.158,0.00,567.00
229,Pursuer,0.118,0.135,0.747,0.146,0.143,0.00,229.00
230,Pursuer,0.117,0.139,0.743,0.153,0.139,0.00,385.00
231,Draw,0.117,0.139,0.745,0.143,0.151,4.68,999.00
232,Pursuer,0.116,0.142,0.741,0.125,0.142,0.00,241.00
233,Draw,0.116,0.142,0.742,0.154,0.152,0.00,999.00
234,Runner,0.120,0.141,0.739,0.000,0.000,0.00,0.00
235,Pursuer,0.119,0.145,0.736,0.000,0.000,0.00,0.00
236,Pursuer,0.119,0.148,0.733,0.135,0.151,0.00,177.00
237,Pursuer,0.118,0.152,0.730,0.157,0.150,0.00,563.00
238,Draw,0.118,0.151,0.731,0.146,0.146,13.76,999.00
239,Runner,0.121,0.151,0.728,0.143,0.163,0.00,217.00
240,Draw,0.121,0.150,0.729,0.146,0.148,0.00,999.00
241,Draw,0.120,0.149,0.730,0.141,0.146,0.00,999.00
242,Draw,0.120,0.149,0.731,0.154,0.161,9.28,999.00
243,Draw,0.119,0.148,0.733,0.146,0.157,0.00,999.00
244,Draw,0.119,0.148,0.734,0.150,0.143,19.84,999.00
245,Runner,0.122,0.147,0.731,0.146,0.142,2.62,465.00
246,Runner,0.126,0.146,0.728,0.152,0.163,0.00,806.00
247,Draw,0.126,0.146,0.729,0.160,0.148,4.30,999.00
248,Draw,0.125,0.145,0.730,0.160,0.149,3.60,999.00
249,Draw,0.124,0.145,0.731,0.154,0.151,0.00,999.00
250,Pursuer,0.124,0.148,0.728,0.000,0.000,0.00,0.00
251,Draw,0.124,0.147,0.729,0.166,0.146,7.76,999.00
252,Draw,0.123,0.147,0.730,0.148,0.144,0.00,999.00
253,Pursuer,0.123,0.150,0.727,0.166,0.129,0.00,160.00
254,Draw,0.122,0.150,0.728,0.150,0.149,9.06,999.00
255,Draw,0.122,0.149,0.729,0.155,0.157,0.00,999.00
256,Draw,0.121,0.148,0.730,0.153,0.152,0.00,999.00
257,Draw,0.121,0.148,0.732,0.143,0.145,9.38,999.00
258,Draw,0.120,0.147,0.733,0.160,0.162,0.00,999.00
259,Draw,0.120,0.147,0.734,0.140,0.146,0.00,999.00
260,Draw,0.119,0.146,0.735,0.158,0.150,9.88,999.00
261,Draw,0.119,0.146,0.736,0.142,0.142,0.00,999.00
262,Draw,0.118,0.145,0.737,0.143,0.148,4.88,999.00
263,Draw,0.118,0.144,0.738,0.153,0.143,6.92,999.00
264,Draw,0.117,0.144,0.739,0.156,0.141,0.00,999.00
