Episode,Winner,RunnerJitter,PursuerJitter,NearMissTime
260,Draw,0.157,0.149,10.64
261,Pursuer,0.151,0.159,0.00
262,Pursuer,0.160,0.142,0.00
263,Pursuer,0.123,0.158,0.00
264,Runner,0.153,0.153,17.12
265,Pursuer,0.000,0.000,0.00
266,Draw,0.155,0.145,0.00
267,Runner,0.162,0.140,0.00
268,Pursuer,0.147,0.153,0.00
269,Pursuer,0.133,0.140,0.00
270,Draw,0.147,0.141,12.58
271,Runner,0.137,0.152,0.00
272,Pursuer,0.159,0.137,0.00
273,Pursuer,0.079,0.081,0.00
274,Draw,0.160,0.144,15.98
275,Pursuer,0.000,0.000,0.00
276,Draw,0.142,0.146,15.60
277,Pursuer,0.156,0.128,0.00
278,Runner,0.152,0.099,0.46
279,Draw,0.153,0.157,6.04
280,Draw,0.153,0.151,15.40
281,Draw,0.150,0.152,3.30
282,Runner,0.125,0.140,0.00
283,Pursuer,0.149,0.149,0.00
284,Runner,0.159,0.160,0.00
285,Pursuer,0.155,0.153,0.00
286,Pursuer,0.153,0.152,0.00
287,Draw,0.146,0.142,0.00
288,Pursuer,0.169,0.200,0.00
289,Pursuer,0.142,0.154,0.00
290,Draw,0.145,0.141,0.00
291,Draw,0.149,0.153,4.58
292,Pursuer,0.202,0.316,0.00
293,Draw,0.141,0.155,0.00
294,Draw,0.140,0.141,9.90
295,Runner,0.140,0.136,10.86
296,Pursuer,0.143,0.153,0.00
297,Draw,0.145,0.148,5.90
298,Draw,0.150,0.138,4.42
299,Draw,0.158,0.151,0.00
300,Pursuer,0.145,0.144,0.00
301,Pursuer,0.172,0.170,0.00
302,Draw,0.153,0.156,6.38
303,Pursuer,0.162,0.153,0.00
304,Draw,0.139,0.148,0.00
305,Pursuer,0.146,0.137,0.00
306,Draw,0.147,0.139,0.00
307,Draw,0.146,0.144,4.54
308,Draw,0.157,0.156,4.88
309,Draw,0.161,0.146,0.00
310,Pursuer,0.151,0.149,0.00
311,Draw,0.149,0.155,0.00
312,Pursuer,0.130,0.153,0.00
313,Pursuer,0.176,0.165,0.00
314,Runner,0.172,0.132,0.00
315,Pursuer,0.148,0.143,0.00
316,Pursuer,0.126,0.167,0.00
317,Pursuer,0.159,0.162,0.00
318,Runner,0.000,0.000,0.00
319,Pursuer,0.157,0.152,0.00
320,Pursuer,0.152,0.142,0.00
321,Runner,0.137,0.163,0.00
322,Runner,0.184,0.116,0.20
323,Pursuer,0.147,0.156,0.00
324,Draw,0.148,0.145,2.18
325,Draw,0.150,0.140,0.00
326,Draw,0.144,0.154,0.00
327,Draw,0.146,0.148,14.40
328,Pursuer,0.153,0.134,0.00
329,Runner,0.149,0.165,10.48
330,Draw,0.140,0.150,13.76
331,Draw,0.147,0.152,13.70
332,Pursuer,0.118,0.124,0.00
333,Draw,0.159,0.137,12.92
334,Draw,0.158,0.144,6.64
335,Pursuer,0.148,0.186,0.00
336,Pursuer,0.177,0.165,0.00
337,Pursuer,0.153,0.137,0.00
338,Draw,0.148,0.155,7.82
339,Draw,0.154,0.148,18.90
340,Pursuer,0.140,0.151,0.00
341,Pursuer,0.148,0.146,0.00
342,Runner,0.169,0.151,0.00
343,Pursuer,0.000,0.000,0.00
344,Draw,0.144,0.147,0.00
345,Draw,0.155,0.141,5.10
346,Draw,0.157,0.145,17.10
347,Pursuer,0.128,0.150,0.00
348,Pursuer,0.148,0.163,0.00
349,Runner,0.152,0.158,8.88
350,Pursuer,0.291,0.316,0.00
351,Runner,0.152,0.158,5.64
352,Draw,0.147,0.145,18.22
353,Pursuer,0.143,0.148,0.00
354,Runner,0.150,0.151,2.84
355,Draw,0.159,0.143,15.02
356,Draw,0.145,0.139,3.92
357,Pursuer,0.142,0.142,0.00
358,Pursuer,0.156,0.168,0.00
359,Runner,0.151,0.119,0.00
360,Draw,0.147,0.138,10.52
361,Runner,0.138,0.215,0.00
362,Pursuer,0.144,0.140,0.00
363,Pursuer,0.144,0.131,0.00
364,Draw,0.163,0.135,5.84
365,Pursuer,0.144,0.149,0.00
366,Runner,0.151,0.156,0.00
367,Draw,0.149,0.150,9.00
368,Runner,0.159,0.169,0.00
369,Draw,0.150,0.151,11.26
370,Draw,0.148,0.160,11.80
371,Runner,0.154,0.131,3.54
372,Draw,0.154,0.149,8.58
373,Pursuer,0.160,0.168,0.00
374,Pursuer,0.149,0.146,0.00
375,Draw,0.147,0.142,13.44
376,Pursuer,0.164,0.124,0.00
377,Draw,0.153,0.154,0.00
378,Runner,0.146,0.137,4.20
379,Draw,0.151,0.152,7.02
380,Pursuer,0.147,0.139,0.00
381,Draw,0.153,0.152,10.44
382,Pursuer,0.155,0.153,0.00
383,Draw,0.151,0.151,10.40
384,Draw,0.144,0.140,4.96
385,Draw,0.135,0.148,0.06
386,Pursuer,0.000,0.000,0.00
387,Draw,0.148,0.151,1.60
388,Pursuer,0.154,0.172,0.00
389,Runner,0.150,0.135,4.34
390,Runner,0.133,0.146,0.24
391,Draw,0.149,0.159,0.00
392,Runner,0.000,0.000,0.00
393,Runner,0.151,0.144,0.00
394,Runner,0.141,0.153,0.00
395,Pursuer,0.137,0.144,0.00
396,Draw,0.152,0.143,0.00
397,Pursuer,0.160,0.154,0.00
398,Pursuer,0.147,0.147,0.00
399,Pursuer,0.154,0.145,0.00
400,Draw,0.144,0.150,0.00
401,Pursuer,0.146,0.141,0.00
402,Pursuer,0.144,0.157,0.00
403,Pursuer,0.160,0.138,0.00
404,Draw,0.142,0.149,10.68
405,Draw,0.150,0.142,15.32
406,Pursuer,0.147,0.143,0.00
407,Draw,0.161,0.157,0.00
