Episode,RunnerAcc,PursuerAcc
13800,0.49,0.49
13900,0.55,0.39
14000,0.61,0.38
14100,0.5,0.46
14200,0.51,0.48
14300,0.46,0.49
14400,0.58,0.38
14500,0.59,0.38
14600,0.55,0.44
14700,0.55,0.4
14800,0.46,0.52
14900,0.49,0.47
15000,0.53,0.45
15100,0.58,0.4
15200,0.54,0.42
15300,0.55,0.44
15400,0.48,0.49
15500,0.54,0.44
15600,0.58,0.38
15700,0.48,0.47
15800,0.55,0.41
15900,0.52,0.41
16000,0.57,0.38
16100,0.47,0.52
16200,0.57,0.41
16300,0.49,0.48
16400,0.54,0.43
16500,0.55,0.43
16600,0.52,0.46
16700,0.46,0.52
16800,0.49,0.49
16900,0.51,0.45
17000,0.56,0.42
17100,0.58,0.39
17200,0.64,0.31
17300,0.62,0.36
17400,0.47,0.49
17500,0.6,0.38
17600,0.67,0.32
17700,0.57,0.36
17800,0.6,0.36
17900,0.58,0.36
18000,0.51,0.46
18100,0.54,0.46
18200,0.58,0.4
18300,0.49,0.46
18400,0.53,0.39
18500,0.58,0.39
18600,0.5,0.45
18700,0.55,0.4
18800,0.61,0.36
18900,0.53,0.45
19000,0.56,0.38
19100,0.41,0.53
19200,0.54,0.4
19300,0.54,0.39
19400,0.6,0.35
19500,0.57,0.39
19600,0.5,0.45
19700,0.52,0.44
19800,0.45,0.51
19900,0.52,0.4
20000,0.54,0.4
20100,0.58,0.37
20200,0.57,0.39
20300,0.57,0.39
20400,0.55,0.41
20500,0.51,0.46
20600,0.62,0.35
20700,0.59,0.37
20800,0.5,0.46
20900,0.54,0.45
21000,0.58,0.38
21100,0.55,0.35
21200,0.57,0.39
21300,0.53,0.44
21400,0.55,0.42
21500,0.59,0.4
21600,0.57,0.4
21700,0.53,0.43
21800,0.54,0.41
21900,0.52,0.44
22000,0.6,0.37
22100,0.49,0.46
22200,0.54,0.39
22300,0.51,0.46
22400,0.5,0.44
22500,0.51,0.43
22600,0.54,0.42
22700,0.57,0.4
22800,0.54,0.41
22900,0.56,0.42
23000,0.58,0.38
23100,0.59,0.35
23200,0.59,0.38
23300,0.55,0.41
23400,0.51,0.46
23500,0.5,0.46
23600,0.58,0.39
23700,0.62,0.35
23800,0.57,0.41
23900,0.43,0.53
24000,0.57,0.41
24100,0.58,0.41
24200,0.57,0.41
24300,0.48,0.5
24400,0.57,0.4
24500,0.5,0.46
24600,0.54,0.43
24700,0.54,0.41
24800,0.56,0.38
24900,0.51,0.47
25000,0.61,0.32
25100,0.59,0.38
25200,0.57,0.36
25300,0.59,0.39
25400,0.55,0.41
25500,0.61,0.38
25600,0.53,0.44
25700,0.53,0.39
25800,0.51,0.46
25900,0.52,0.46
26000,0.49,0.45
26100,0.55,0.39
26200,0.48,0.48
26300,0.5,0.46
26400,0.48,0.46
26500,0.57,0.37
26600,0.55,0.41
26700,0.54,0.43
26800,0.45,0.44
26900,0.56,0.41
27000,0.58,0.39
27100,0.65,0.28
27200,0.55,0.41
27300,0.6,0.36
27400,0.53,0.45
27500,0.63,0.37
27600,0.52,0.4
27700,0.61,0.33
27800,0.55,0.36
27900,0.46,0.44
28000,0.59,0.34
28100,0.51,0.47
28200,0.58,0.38
28300,0.5,0.45
28400,0.58,0.36
28500,0.48,0.51
28600,0.49,0.44
28700,0.59,0.39
28800,0.54,0.42
28900,0.62,0.36
29000,0.56,0.37
29100,0.53,0.42
29200,0.59,0.35
29300,0.61,0.34
29400,0.61,0.34
29500,0.58,0.36
29600,0.47,0.48
29700,0.54,0.4
29800,0.5,0.46
29900,0.52,0.44
30000,0.57,0.36
30100,0.53,0.41
30200,0.61,0.36
30300,0.53,0.42
30400,0.52,0.46
30500,0.6,0.35
30600,0.5,0.46
30700,0.54,0.43
30800,0.62,0.33
30900,0.59,0.33
31000,0.63,0.35
31100,0.55,0.39
31200,0.51,0.47
31300,0.56,0.39
31400,0.63,0.34
31500,0.5,0.45
31600,0.53,0.42
31700,0.6,0.38
31800,0.55,0.41
31900,0.53,0.41
32000,0.54,0.43
32100,0.42,0.52
32200,0.66,0.32
32300,0.54,0.41
32400,0.49,0.45
32500,0.56,0.42
32600,0.61,0.33
32700,0.54,0.45
32800,0.55,0.42
32900,0.55,0.42
33000,0.56,0.43
33100,0.55,0.42
33200,0.55,0.4
33300,0.62,0.36
33400,0.66,0.33
33500,0.63,0.33
33600,0.57,0.41
33700,0.56,0.37
33800,0.55,0.41
33900,0.6,0.36
34000,0.63,0.33
34100,0.57,0.32
34200,0.6,0.34
34300,0.57,0.41
34400,0.62,0.36
34500,0.64,0.34
34600,0.64,0.32
34700,0.61,0.35
34800,0.6,0.35
34900,0.53,0.43
35000,0.62,0.35
35100,0.56,0.38
35200,0.6,0.4
35300,0.52,0.45
35400,0.62,0.34
35500,0.52,0.45
35600,0.57,0.39
35700,0.63,0.33
35800,0.72,0.26
35900,0.55,0.43
36000,0.62,0.35
36100,0.61,0.37
36200,0.54,0.41
36300,0.49,0.49
36400,0.47,0.51
36500,0.56,0.44
36600,0.58,0.35
36700,0.5,0.42
36800,0.55,0.36
36900,0.55,0.4
37000,0.55,0.41
37100,0.56,0.36
37200,0.5,0.47
37300,0.65,0.3
37400,0.59,0.36
37500,0.53,0.43
37600,0.55,0.39
37700,0.59,0.39
37800,0.59,0.37
37900,0.57,0.33
38000,0.56,0.39
38100,0.63,0.33
38200,0.57,0.37
38300,0.61,0.37
38400,0.53,0.44
38500,0.65,0.32
38600,0.53,0.41
38700,0.57,0.4
38800,0.54,0.44
38900,0.54,0.41
39000,0.63,0.33
39100,0.55,0.42
39200,0.54,0.45
39300,0.6,0.35
39400,0.59,0.39
39500,0.57,0.39
39600,0.58,0.4
39700,0.51,0.45
39800,0.61,0.38
39900,0.58,0.41
40000,0.59,0.37
40100,0.52,0.45
40200,0.68,0.28
40300,0.59,0.4
40400,0.59,0.38
40500,0.62,0.34
40600,0.65,0.25
40700,0.61,0.36
40800,0.56,0.4
40900,0.54,0.41
41000,0.62,0.33
41100,0.61,0.38
41200,0.64,0.32
41300,0.56,0.4
41400,0.65,0.31
41500,0.58,0.39
41600,0.58,0.33
41700,0.59,0.36
41800,0.63,0.33
41900,0.62,0.37
42000,0.54,0.4
42100,0.59,0.39
42200,0.6,0.39
42300,0.65,0.3
42400,0.68,0.31
42500,0.6,0.33
42600,0.6,0.35
42700,0.65,0.33
42800,0.51,0.46
42900,0.64,0.34
43000,0.6,0.33
43100,0.63,0.33
43200,0.54,0.4
43300,0.5,0.41
43400,0.66,0.32
43500,0.7,0.29
43600,0.52,0.44
43700,0.61,0.36
43800,0.59,0.38
43900,0.52,0.42
44000,0.55,0.42
44100,0.56,0.41
44200,0.63,0.32
44300,0.58,0.36
44400,0.56,0.41
44500,0.68,0.28
44600,0.66,0.29
44700,0.59,0.33
44800,0.61,0.36
44900,0.62,0.36
45000,0.6,0.34
45100,0.57,0.41
45200,0.64,0.28
45300,0.57,0.37
45400,0.57,0.38
45500,0.57,0.4
45600,0.53,0.41
45700,0.55,0.41
45800,0.66,0.3
45900,0.52,0.46
46000,0.6,0.35
46100,0.55,0.4
46200,0.59,0.39
46300,0.56,0.36
46400,0.52,0.43
46500,0.65,0.34
46600,0.59,0.36
46700,0.65,0.33
46800,0.56,0.38
46900,0.57,0.35
47000,0.67,0.31
47100,0.66,0.33
47200,0.62,0.33
47300,0.65,0.34
47400,0.64,0.34
47500,0.61,0.36
47600,0.58,0.36
47700,0.57,0.35
47800,0.58,0.38
47900,0.62,0.37
48000,0.62,0.35
48100,0.7,0.28
48200,0.55,0.39
48300,0.62,0.35
48400,0.62,0.36
48500,0.6,0.38
48600,0.54,0.44
48700,0.55,0.38
48800,0.53,0.41
48900,0.66,0.32
49000,0.54,0.41
49100,0.55,0.4
49200,0.61,0.37
49300,0.61,0.36
49400,0.56,0.4
49500,0.58,0.36
49600,0.6,0.38
49700,0.54,0.43
49800,0.56,0.42
49900,0.58,0.34
50000,0.67,0.29
50100,0.62,0.32
50200,0.64,0.36
50300,0.6,0.39
50400,0.59,0.37
50500,0.66,0.3
50600,0.51,0.44
50700,0.59,0.35
50800,0.7,0.27
50900,0.58,0.38
51000,0.68,0.27
51100,0.58,0.38
51200,0.65,0.31
51300,0.64,0.33
51400,0.71,0.27
51500,0.63,0.33
51600,0.61,0.37
51700,0.65,0.31
51800,0.62,0.3
51900,0.52,0.45
52000,0.6,0.37
52100,0.55,0.43
52200,0.54,0.44
52300,0.72,0.24
52400,0.58,0.39
