Episode,RunnerAcc,PursuerAcc
11000,0.61,0.31
11100,0.68,0.24
11200,0.64,0.26
11300,0.55,0.39
11400,0.76,0.19
11500,0.6,0.33
11600,0.67,0.26
11700,0.59,0.35
11800,0.65,0.29
11900,0.68,0.3
12000,0.61,0.28
12100,0.68,0.26
12200,0.68,0.24
12300,0.65,0.28
12400,0.67,0.28
12500,0.64,0.3
12600,0.55,0.34
12700,0.68,0.27
12800,0.68,0.26
12900,0.7,0.22
13000,0.68,0.28
13100,0.71,0.2
13200,0.63,0.3
13300,0.69,0.24
13400,0.71,0.2
13500,0.7,0.24
13600,0.67,0.27
13700,0.71,0.21
13800,0.62,0.27
13900,0.68,0.26
14000,0.64,0.26
14100,0.65,0.25
14200,0.7,0.22
14300,0.67,0.25
14400,0.72,0.21
14500,0.66,0.24
14600,0.63,0.28
14700,0.63,0.28
14800,0.66,0.23
14900,0.65,0.28
15000,0.64,0.26
15100,0.67,0.27
15200,0.73,0.17
15300,0.67,0.26
15400,0.67,0.25
15500,0.65,0.31
15600,0.69,0.19
15700,0.67,0.22
15800,0.67,0.24
15900,0.65,0.27
16000,0.61,0.28
16100,0.68,0.24
16200,0.63,0.29
16300,0.71,0.21
16400,0.67,0.29
16500,0.75,0.22
16600,0.72,0.18
16700,0.71,0.21
16800,0.68,0.26
16900,0.69,0.19
17000,0.64,0.27
17100,0.62,0.32
17200,0.64,0.3
17300,0.7,0.21
17400,0.63,0.32
17500,0.64,0.25
17600,0.79,0.17
17700,0.66,0.23
17800,0.68,0.25
17900,0.75,0.21
18000,0.68,0.25
18100,0.71,0.26
18200,0.73,0.23
18300,0.7,0.22
18400,0.7,0.26
18500,0.62,0.29
18600,0.72,0.21
18700,0.65,0.25
18800,0.69,0.21
18900,0.75,0.21
19000,0.71,0.25
19100,0.72,0.24
19200,0.67,0.25
19300,0.68,0.24
19400,0.65,0.29
19500,0.56,0.34
19600,0.64,0.23
19700,0.75,0.2
19800,0.65,0.24
19900,0.64,0.26
20000,0.77,0.18
20100,0.69,0.25
20200,0.6,0.34
20300,0.72,0.21
20400,0.69,0.23
20500,0.67,0.32
20600,0.7,0.27
20700,0.69,0.26
20800,0.72,0.22
20900,0.66,0.28
21000,0.66,0.26
21100,0.64,0.3
21200,0.74,0.21
21300,0.76,0.17
21400,0.66,0.28
21500,0.67,0.26
21600,0.72,0.18
21700,0.68,0.25
21800,0.77,0.18
21900,0.66,0.25
22000,0.7,0.23
22100,0.64,0.25
22200,0.75,0.18
22300,0.7,0.22
22400,0.72,0.22
22500,0.68,0.28
22600,0.71,0.24
22700,0.69,0.24
22800,0.67,0.26
22900,0.75,0.22
23000,0.66,0.31
23100,0.69,0.26
23200,0.6,0.32
23300,0.64,0.28
23400,0.65,0.27
23500,0.6,0.34
23600,0.67,0.23
23700,0.7,0.24
23800,0.71,0.21
23900,0.65,0.28
24000,0.69,0.24
24100,0.55,0.34
24200,0.72,0.24
24300,0.73,0.23
24400,0.73,0.22
24500,0.69,0.27
24600,0.72,0.19
24700,0.6,0.32
24800,0.76,0.17
24900,0.69,0.25
25000,0.71,0.22
25100,0.59,0.28
25200,0.8,0.15
25300,0.67,0.28
25400,0.69,0.22
25500,0.68,0.24
25600,0.72,0.23
25700,0.7,0.23
25800,0.62,0.29
25900,0.74,0.22
26000,0.63,0.3
26100,0.74,0.19
26200,0.67,0.26
26300,0.73,0.22
26400,0.67,0.27
26500,0.7,0.25
26600,0.74,0.19
26700,0.75,0.22
26800,0.67,0.29
26900,0.71,0.23
27000,0.71,0.24
27100,0.73,0.21
27200,0.73,0.19
27300,0.71,0.24
27400,0.72,0.22
27500,0.74,0.25
27600,0.7,0.28
27700,0.67,0.26
27800,0.63,0.31
27900,0.72,0.24
28000,0.68,0.26
28100,0.78,0.19
28200,0.64,0.31
28300,0.69,0.27
28400,0.63,0.28
28500,0.68,0.26
28600,0.6,0.29
28700,0.7,0.26
28800,0.59,0.25
28900,0.7,0.23
29000,0.75,0.19
29100,0.66,0.24
29200,0.67,0.26
29300,0.67,0.26
29400,0.69,0.24
29500,0.59,0.33
29600,0.7,0.24
29700,0.77,0.17
29800,0.73,0.24
29900,0.78,0.18
30000,0.74,0.21
30100,0.74,0.21
30200,0.64,0.29
30300,0.72,0.21
30400,0.67,0.25
30500,0.63,0.33
30600,0.54,0.31
30700,0.64,0.31
30800,0.7,0.19
30900,0.6,0.29
31000,0.7,0.22
31100,0.67,0.23
31200,0.76,0.15
31300,0.69,0.22
31400,0.7,0.19
31500,0.68,0.23
31600,0.68,0.24
31700,0.73,0.22
31800,0.74,0.23
31900,0.72,0.22
32000,0.64,0.33
32100,0.66,0.27
32200,0.73,0.24
32300,0.63,0.3
32400,0.77,0.19
32500,0.64,0.29
32600,0.65,0.27
32700,0.61,0.33
32800,0.66,0.22
32900,0.78,0.18
33000,0.67,0.28
33100,0.65,0.25
33200,0.64,0.29
33300,0.66,0.3
33400,0.73,0.23
33500,0.75,0.18
33600,0.66,0.25
33700,0.66,0.24
33800,0.78,0.17
33900,0.73,0.22
34000,0.75,0.19
34100,0.74,0.21
34200,0.72,0.23
34300,0.78,0.19
34400,0.72,0.23
34500,0.73,0.19
34600,0.7,0.23
34700,0.72,0.2
34800,0.76,0.19
34900,0.75,0.17
35000,0.64,0.3
35100,0.82,0.14
35200,0.72,0.23
35300,0.74,0.22
35400,0.73,0.2
35500,0.67,0.29
35600,0.72,0.24
35700,0.76,0.18
35800,0.65,0.25
35900,0.66,0.27
36000,0.75,0.23
36100,0.75,0.15
36200,0.72,0.23
36300,0.69,0.22
36400,0.7,0.23
36500,0.69,0.27
36600,0.74,0.21
36700,0.61,0.31
36800,0.64,0.27
36900,0.67,0.26
37000,0.68,0.29
37100,0.71,0.22
37200,0.75,0.2
37300,0.71,0.21
37400,0.74,0.22
37500,0.7,0.2
37600,0.72,0.21
37700,0.7,0.2
37800,0.7,0.22
37900,0.74,0.21
38000,0.71,0.23
38100,0.72,0.23
38200,0.62,0.32
38300,0.74,0.18
38400,0.79,0.14
38500,0.7,0.25
38600,0.72,0.2
38700,0.74,0.23
38800,0.78,0.16
38900,0.75,0.18
39000,0.78,0.18
39100,0.74,0.19
39200,0.74,0.2
39300,0.7,0.24
39400,0.74,0.21
39500,0.75,0.18
39600,0.76,0.21
39700,0.68,0.24
39800,0.72,0.24
39900,0.74,0.2
40000,0.72,0.24
40100,0.64,0.31
40200,0.64,0.28
40300,0.69,0.25
40400,0.61,0.36
40500,0.71,0.25
40600,0.72,0.17
40700,0.66,0.27
40800,0.72,0.23
40900,0.7,0.2
41000,0.75,0.21
41100,0.75,0.21
41200,0.69,0.24
41300,0.68,0.22
41400,0.76,0.18
41500,0.75,0.19
41600,0.68,0.21
41700,0.63,0.3
41800,0.74,0.21
41900,0.76,0.19
42000,0.64,0.3
42100,0.69,0.26
42200,0.67,0.26
42300,0.71,0.19
42400,0.6,0.31
42500,0.71,0.24
42600,0.7,0.2
42700,0.67,0.23
42800,0.69,0.24
42900,0.69,0.21
43000,0.75,0.22
43100,0.74,0.18
43200,0.69,0.22
43300,0.72,0.19
43400,0.72,0.22
43500,0.76,0.2
43600,0.73,0.2
43700,0.69,0.19
43800,0.76,0.22
43900,0.77,0.2
44000,0.71,0.23
44100,0.73,0.21
44200,0.74,0.18
44300,0.71,0.25
44400,0.73,0.22
44500,0.75,0.19
44600,0.68,0.24
44700,0.69,0.23
44800,0.75,0.23
44900,0.77,0.17
45000,0.68,0.2
45100,0.67,0.24
45200,0.77,0.18
45300,0.74,0.18
45400,0.71,0.22
45500,0.7,0.21
45600,0.69,0.22
45700,0.79,0.16
45800,0.72,0.23
45900,0.74,0.18
46000,0.74,0.2
46100,0.67,0.24
46200,0.7,0.21
46300,0.66,0.3
46400,0.72,0.24
46500,0.75,0.2
46600,0.73,0.2
46700,0.71,0.27
46800,0.69,0.25
46900,0.72,0.22
47000,0.67,0.28
47100,0.72,0.24
47200,0.73,0.25
47300,0.73,0.22
47400,0.74,0.2
47500,0.68,0.25
47600,0.71,0.23
47700,0.75,0.18
47800,0.75,0.19
47900,0.74,0.23
48000,0.75,0.18
48100,0.79,0.16
48200,0.74,0.23
48300,0.78,0.19
48400,0.65,0.27
48500,0.69,0.26
48600,0.76,0.17
48700,0.76,0.17
48800,0.76,0.18
48900,0.7,0.21
49000,0.66,0.29
49100,0.73,0.21
49200,0.73,0.23
49300,0.67,0.2
49400,0.75,0.2
49500,0.73,0.22
49600,0.7,0.23
49700,0.67,0.24
49800,0.74,0.19
49900,0.72,0.23
50000,0.67,0.23
50100,0.73,0.21
50200,0.8,0.15
50300,0.77,0.19
50400,0.69,0.25
50500,0.67,0.3
50600,0.76,0.18
50700,0.72,0.22
50800,0.79,0.13
50900,0.8,0.17
51000,0.72,0.21
51100,0.71,0.23
51200,0.69,0.27
51300,0.71,0.19
51400,0.71,0.21
51500,0.72,0.23
51600,0.75,0.16
51700,0.81,0.17
51800,0.79,0.17
51900,0.75,0.23
52000,0.74,0.22
52100,0.74,0.16
52200,0.8,0.17
52300,0.65,0.21
52400,0.76,0.16
52500,0.76,0.19
52600,0.74,0.19
52700,0.66,0.3
52800,0.64,0.27
52900,0.77,0.16
53000,0.74,0.22
53100,0.76,0.19
53200,0.68,0.26
53300,0.75,0.17
53400,0.63,0.3
53500,0.74,0.21
53600,0.74,0.19
53700,0.75,0.19
53800,0.75,0.17
53900,0.75,0.18
54000,0.83,0.15
54100,0.75,0.2
54200,0.71,0.25
54300,0.71,0.18
54400,0.76,0.19
54500,0.77,0.16
54600,0.72,0.22
54700,0.8,0.15
54800,0.71,0.2
54900,0.77,0.16
55000,0.73,0.22
55100,0.73,0.2
55200,0.79,0.15
55300,0.74,0.21
55400,0.76,0.18
55500,0.74,0.21
55600,0.76,0.16
55700,0.81,0.14
55800,0.66,0.21
55900,0.73,0.21
56000,0.7,0.22
56100,0.73,0.21
56200,0.77,0.18
56300,0.61,0.27
56400,0.83,0.13
56500,0.76,0.18
56600,0.77,0.18
56700,0.74,0.2
56800,0.71,0.25
56900,0.75,0.22
57000,0.71,0.22
57100,0.65,0.26
57200,0.73,0.17
57300,0.72,0.23
57400,0.64,0.3
57500,0.73,0.22
57600,0.71,0.23
57700,0.65,0.31
57800,0.73,0.22
57900,0.71,0.24
58000,0.79,0.19
58100,0.73,0.21
58200,0.74,0.2
58300,0.73,0.21
58400,0.68,0.26
58500,0.73,0.23
58600,0.77,0.14
58700,0.75,0.17
58800,0.83,0.12
58900,0.77,0.17
59000,0.74,0.22
59100,0.7,0.22
59200,0.73,0.24
59300,0.62,0.32
59400,0.77,0.18
59500,0.74,0.2
59600,0.72,0.23
59700,0.74,0.2
59800,0.73,0.2
59900,0.72,0.21
60000,0.76,0.17
60100,0.74,0.2
60200,0.72,0.17
60300,0.69,0.26
60400,0.79,0.16
60500,0.8,0.18
60600,0.76,0.19
60700,0.72,0.23
60800,0.78,0.2
60900,0.79,0.16
61000,0.76,0.22
61100,0.75,0.2
61200,0.72,0.21
61300,0.79,0.16
61400,0.76,0.18
61500,0.81,0.18
61600,0.68,0.25
61700,0.8,0.17
61800,0.68,0.27
61900,0.78,0.14
62000,0.76,0.21
62100,0.76,0.18
62200,0.67,0.29
62300,0.68,0.31
62400,0.69,0.23
62500,0.78,0.2
62600,0.73,0.21
62700,0.7,0.25
62800,0.77,0.2
62900,0.7,0.23
63000,0.74,0.22
63100,0.81,0.16
63200,0.75,0.22
63300,0.73,0.18
63400,0.74,0.23
63500,0.77,0.19
63600,0.68,0.26
63700,0.68,0.28
63800,0.71,0.24
63900,0.73,0.18
64000,0.75,0.22
64100,0.74,0.23
64200,0.71,0.25
64300,0.78,0.17
64400,0.73,0.19
64500,0.8,0.15
64600,0.77,0.19
64700,0.73,0.22
64800,0.74,0.2
64900,0.72,0.2
65000,0.66,0.27
65100,0.71,0.25
65200,0.81,0.16
65300,0.77,0.22
65400,0.73,0.23
65500,0.7,0.22
65600,0.78,0.17
65700,0.7,0.24
65800,0.77,0.21
65900,0.71,0.23
66000,0.7,0.25
66100,0.77,0.17
66200,0.69,0.26
66300,0.72,0.25
66400,0.74,0.22
66500,0.71,0.25
66600,0.82,0.14
66700,0.73,0.2
66800,0.74,0.2
66900,0.78,0.18
67000,0.75,0.22
67100,0.77,0.2
67200,0.79,0.17
67300,0.74,0.19
67400,0.8,0.17
67500,0.74,0.23
67600,0.71,0.26
67700,0.8,0.19
67800,0.71,0.23
67900,0.72,0.19
68000,0.86,0.12
68100,0.77,0.18
68200,0.79,0.16
68300,0.77,0.19
68400,0.7,0.24
68500,0.75,0.2
68600,0.69,0.25
68700,0.8,0.15
68800,0.74,0.21
68900,0.72,0.19
69000,0.68,0.22
69100,0.75,0.21
69200,0.77,0.15
69300,0.58,0.36
69400,0.73,0.23
69500,0.68,0.24
69600,0.76,0.19
69700,0.76,0.21
69800,0.74,0.2
69900,0.77,0.18
70000,0.77,0.17
70100,0.8,0.16
70200,0.7,0.21
70300,0.76,0.2
70400,0.75,0.22
70500,0.77,0.15
70600,0.7,0.2
70700,0.73,0.23
70800,0.69,0.27
70900,0.7,0.23
71000,0.74,0.21
71100,0.68,0.25
71200,0.76,0.16
71300,0.7,0.23
71400,0.76,0.21
71500,0.76,0.21
71600,0.84,0.14
71700,0.79,0.19
71800,0.74,0.22
71900,0.75,0.18
72000,0.78,0.18
72100,0.67,0.27
72200,0.71,0.26
72300,0.75,0.19
72400,0.74,0.22
72500,0.73,0.23
72600,0.77,0.21
72700,0.81,0.14
72800,0.86,0.13
72900,0.75,0.22
73000,0.81,0.14
73100,0.7,0.25
73200,0.79,0.14
73300,0.73,0.24
73400,0.82,0.17
73500,0.74,0.25
73600,0.73,0.25
73700,0.69,0.25
73800,0.73,0.22
73900,0.73,0.18
74000,0.76,0.2
74100,0.82,0.13
74200,0.72,0.19
74300,0.75,0.2
74400,0.83,0.14
74500,0.72,0.24
74600,0.69,0.27
74700,0.68,0.26
74800,0.77,0.23
74900,0.79,0.16
75000,0.58,0.33
75100,0.73,0.21
75200,0.76,0.21
75300,0.78,0.18
75400,0.77,0.19
75500,0.72,0.23
75600,0.65,0.26
75700,0.74,0.21
75800,0.75,0.17
75900,0.79,0.16
76000,0.74,0.21
76100,0.77,0.2
76200,0.72,0.24
76300,0.7,0.2
76400,0.82,0.17
76500,0.76,0.18
76600,0.81,0.15
76700,0.73,0.18
76800,0.78,0.18
76900,0.76,0.21
77000,0.73,0.23
77100,0.7,0.26
77200,0.75,0.16
77300,0.78,0.18
77400,0.76,0.19
77500,0.78,0.18
77600,0.83,0.15
77700,0.67,0.27
77800,0.77,0.18
77900,0.87,0.11
78000,0.75,0.2
78100,0.75,0.2
78200,0.8,0.16
78300,0.74,0.2
78400,0.67,0.26
78500,0.74,0.2
78600,0.76,0.21
78700,0.76,0.19
78800,0.76,0.22
78900,0.78,0.16
79000,0.78,0.18
79100,0.78,0.15
79200,0.65,0.3
79300,0.74,0.2
79400,0.77,0.21
79500,0.8,0.19
79600,0.88,0.11
79700,0.75,0.2
79800,0.74,0.2
79900,0.71,0.23
80000,0.78,0.18
80100,0.76,0.19
80200,0.68,0.24
80300,0.72,0.18
80400,0.79,0.21
80500,0.76,0.2
80600,0.72,0.22
80700,0.68,0.27
80800,0.67,0.26
80900,0.72,0.24
81000,0.81,0.15
81100,0.79,0.17
81200,0.69,0.26
81300,0.74,0.22
81400,0.76,0.22
81500,0.76,0.2
81600,0.76,0.2
81700,0.73,0.21
81800,0.78,0.17
81900,0.74,0.23
82000,0.73,0.23
82100,0.71,0.21
82200,0.75,0.21
82300,0.7,0.22
82400,0.66,0.3
82500,0.78,0.2
82600,0.71,0.24
82700,0.72,0.23
82800,0.7,0.21
82900,0.72,0.21
83000,0.8,0.19
83100,0.86,0.11
83200,0.77,0.21
83300,0.71,0.24
83400,0.8,0.17
83500,0.8,0.16
83600,0.75,0.23
83700,0.78,0.17
83800,0.8,0.15
83900,0.78,0.2
84000,0.76,0.18
84100,0.84,0.13
84200,0.8,0.14
84300,0.76,0.17
84400,0.82,0.18
84500,0.77,0.17
84600,0.78,0.15
84700,0.76,0.2
84800,0.71,0.23
84900,0.75,0.19
85000,0.79,0.17
85100,0.73,0.24
85200,0.83,0.14
85300,0.83,0.16
85400,0.79,0.19
85500,0.77,0.19
85600,0.8,0.15
85700,0.73,0.2
85800,0.76,0.18
85900,0.72,0.19
86000,0.75,0.21
86100,0.72,0.22
86200,0.66,0.23
86300,0.77,0.21
86400,0.72,0.25
86500,0.75,0.2
86600,0.76,0.19
86700,0.74,0.2
86800,0.72,0.24
86900,0.74,0.24
87000,0.7,0.22
87100,0.73,0.2
87200,0.76,0.19
87300,0.79,0.14
87400,0.72,0.19
87500,0.71,0.24
87600,0.73,0.2
87700,0.77,0.18
87800,0.75,0.21
87900,0.83,0.13
88000,0.79,0.17
88100,0.71,0.23
88200,0.75,0.2
88300,0.74,0.21
88400,0.74,0.21
88500,0.74,0.19
88600,0.62,0.29
88700,0.73,0.25
88800,0.7,0.24
88900,0.7,0.26
89000,0.68,0.24
89100,0.76,0.17
89200,0.78,0.19
89300,0.79,0.17
89400,0.69,0.28
89500,0.8,0.14
89600,0.73,0.21
89700,0.86,0.1
89800,0.71,0.22
89900,0.74,0.19
90000,0.79,0.19
90100,0.88,0.1
90200,0.68,0.27
90300,0.75,0.21
90400,0.81,0.13
90500,0.72,0.24
90600,0.75,0.2
90700,0.81,0.18
90800,0.8,0.15
90900,0.77,0.19
91000,0.73,0.19
91100,0.72,0.21
91200,0.71,0.18
91300,0.71,0.21
91400,0.8,0.15
91500,0.76,0.19
91600,0.77,0.19
91700,0.76,0.19
91800,0.7,0.23
91900,0.78,0.16
92000,0.77,0.19
92100,0.83,0.14
92200,0.66,0.22
92300,0.71,0.22
92400,0.77,0.17
92500,0.83,0.14
92600,0.76,0.19
92700,0.68,0.26
92800,0.76,0.22
92900,0.77,0.18
93000,0.79,0.2
93100,0.71,0.24
93200,0.76,0.2
93300,0.74,0.22
93400,0.82,0.15
93500,0.69,0.28
93600,0.76,0.15
93700,0.83,0.11
93800,0.77,0.18
93900,0.77,0.17
94000,0.8,0.18
94100,0.74,0.23
94200,0.8,0.17
94300,0.81,0.17
94400,0.77,0.2
94500,0.77,0.18
94600,0.77,0.18
94700,0.83,0.13
94800,0.79,0.18
94900,0.7,0.24
95000,0.77,0.18
95100,0.75,0.23
95200,0.75,0.21
95300,0.76,0.19
95400,0.81,0.14
95500,0.71,0.23
95600,0.72,0.24
95700,0.8,0.17
95800,0.77,0.2
95900,0.81,0.12
96000,0.75,0.17
96100,0.71,0.22
96200,0.71,0.26
96300,0.71,0.24
96400,0.78,0.17
96500,0.8,0.15
96600,0.73,0.24
96700,0.77,0.2
96800,0.81,0.16
96900,0.82,0.14
97000,0.74,0.24
97100,0.77,0.21
97200,0.77,0.16
97300,0.72,0.22
97400,0.7,0.28
97500,0.75,0.2
97600,0.79,0.14
97700,0.8,0.17
97800,0.77,0.17
97900,0.79,0.16
98000,0.73,0.21
98100,0.76,0.19
98200,0.77,0.19
98300,0.68,0.27
98400,0.76,0.21
98500,0.7,0.24
98600,0.76,0.22
98700,0.76,0.17
98800,0.74,0.21
98900,0.71,0.26
99000,0.81,0.13
99100,0.76,0.17
99200,0.75,0.2
99300,0.74,0.24
99400,0.77,0.17
99500,0.78,0.14
99600,0.75,0.21
99700,0.71,0.26
99800,0.74,0.2
99900,0.75,0.21
100000,0.74,0.21
100100,0.76,0.2
100200,0.76,0.2
100300,0.73,0.22
100400,0.81,0.14
100500,0.72,0.22
100600,0.74,0.22
100700,0.77,0.2
100800,0.84,0.14
100900,0.77,0.18
101000,0.78,0.18
101100,0.79,0.17
101200,0.71,0.27
101300,0.76,0.2
101400,0.74,0.2
101500,0.71,0.21
101600,0.71,0.26
101700,0.71,0.21
101800,0.68,0.21
101900,0.78,0.19
102000,0.77,0.18
102100,0.85,0.15
102200,0.76,0.2
102300,0.7,0.23
102400,0.75,0.22
102500,0.71,0.22
102600,0.77,0.19
102700,0.75,0.17
102800,0.74,0.19
102900,0.65,0.27
103000,0.67,0.28
103100,0.71,0.23
103200,0.77,0.15
103300,0.72,0.24
103400,0.81,0.17
103500,0.78,0.14
103600,0.77,0.17
103700,0.79,0.19
103800,0.76,0.22
103900,0.79,0.14
104000,0.79,0.17
104100,0.84,0.11
104200,0.72,0.23
104300,0.77,0.19
104400,0.79,0.16
104500,0.74,0.22
104600,0.75,0.19
104700,0.73,0.24
104800,0.78,0.16
104900,0.73,0.23
105000,0.72,0.19
105100,0.71,0.27
105200,0.71,0.21
105300,0.77,0.2
105400,0.79,0.2
105500,0.76,0.18
105600,0.68,0.27
105700,0.78,0.17
105800,0.73,0.23
105900,0.84,0.12
106000,0.72,0.25
106100,0.7,0.27
106200,0.73,0.21
106300,0.74,0.19
106400,0.72,0.22
106500,0.73,0.23
106600,0.67,0.26
106700,0.71,0.26
106800,0.85,0.11
106900,0.82,0.16
107000,0.7,0.22
107100,0.77,0.18
107200,0.72,0.24
107300,0.79,0.16
107400,0.74,0.2
107500,0.79,0.18
107600,0.74,0.2
107700,0.74,0.2
107800,0.77,0.19
