Episode,Winner,RunnerJitter,PursuerJitter,NearMissTime
91,Draw,0.14,0.138,13.94
92,Draw,0.149,0.153,12.38
93,Draw,0.158,0.151,9.86
94,Draw,0.144,0.158,14.46
95,Draw,0.157,0.154,0
96,Draw,0.152,0.15,0
97,Draw,0.135,0.162,0
98,Draw,0.146,0.154,6.28
99,Draw,0.152,0.143,0
100,Draw,0.155,0.16,0
101,Draw,0.153,0.147,0
102,Draw,0.168,0.155,7.88
103,Draw,0.142,0.15,19.98
104,Runner,0.153,0.161,0
105,Draw,0.132,0.154,0
106,Runner,0,0,0
107,Runner,0.13,0.181,1
108,Draw,0.146,0.147,0
109,Draw,0.157,0.147,5.4
110,Runner,0.144,0.152,8.1
111,Runner,0.116,0.144,0
112,Draw,0.155,0.149,0
113,Draw,0.147,0.143,0
114,Draw,0.143,0.145,0
115,Draw,0.151,0.147,1.16
116,Draw,0.154,0.139,0
117,Draw,0.149,0.143,0
118,Draw,0.148,0.148,0
119,Draw,0.145,0.139,0
120,Draw,0.15,0.146,0
121,Pursuer,0,0,0
122,Draw,0.156,0.138,0
123,Draw,0.162,0.155,0
124,Draw,0.14,0.147,18.66
125,Pursuer,0.144,0.151,0
126,Draw,0.151,0.157,9.64
127,Draw,0.157,0.166,0
128,Draw,0.154,0.151,0
129,Draw,0.138,0.142,0
130,Draw,0.151,0.144,7.88
131,Draw,0.164,0.147,17.38
132,Draw,0.148,0.155,0
133,Draw,0.155,0.137,10.92
134,Draw,0.154,0.15,0
135,Draw,0.143,0.158,9.12
136,Draw,0.142,0.155,0
137,Draw,0.138,0.153,0
138,Draw,0.156,0.138,0
139,Draw,0.142,0.137,4.84
140,Pursuer,0,0,0
141,Runner,0.128,0.155,0
142,Runner,0.166,0.135,0
143,Draw,0.152,0.148,0
144,Draw,0.15,0.148,0
145,Pursuer,0.147,0.141,0
146,Runner,0.143,0.134,9.2
147,Draw,0.149,0.143,17.32
148,Pursuer,0.146,0.154,0
149,Runner,0.146,0.149,6.78
150,Pursuer,0,0,0
151,Draw,0.157,0.148,0
152,Draw,0.148,0.154,0
153,Pursuer,0.139,0.139,0
154,Draw,0.145,0.154,10.72
155,Pursuer,0.158,0.14,0
156,Draw,0.141,0.148,4.64
157,Draw,0.145,0.151,6.2
158,Draw,0.142,0.137,11.98
159,Draw,0.144,0.138,5.3
160,Draw,0.156,0.151,14.1
161,Draw,0.146,0.147,17.82
162,Draw,0.15,0.145,3.02
163,Pursuer,0.143,0.155,0
164,Draw,0.156,0.154,3
165,Draw,0.147,0.15,0
166,Pursuer,0,0,0
167,Pursuer,0.152,0.165,0
168,Draw,0.138,0.14,0
169,Pursuer,0,0,0
170,Draw,0.148,0.144,0
171,Pursuer,0.138,0.145,0
172,Draw,0.149,0.161,0
173,Draw,0.161,0.149,12.8
174,Draw,0.155,0.16,1.44
175,Draw,0.142,0.15,0
176,Pursuer,0.142,0.155,0
177,Pursuer,0.143,0.142,0
178,Draw,0.145,0.155,0
179,Draw,0.145,0.143,8.32
180,Draw,0.159,0.147,0
181,Draw,0.149,0.152,15.12
