Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeSteps
125,Pursuer,0.096,0.112,0.792,0.074,0.098,0.00,10.00
126,Runner,0.103,0.111,0.786,0.071,0.018,0.00,3.00
127,Draw,0.102,0.110,0.787,0.155,0.153,0.00,999.00
128,Runner,0.109,0.109,0.781,0.173,0.152,0.00,78.00
129,Runner,0.116,0.109,0.775,0.126,0.159,0.00,86.00
130,Draw,0.115,0.108,0.777,0.145,0.150,0.12,999.00
131,Draw,0.115,0.107,0.779,0.141,0.149,0.00,999.00
132,Draw,0.114,0.106,0.780,0.146,0.140,0.00,999.00
133,Draw,0.113,0.105,0.782,0.142,0.160,0.00,999.00
134,Draw,0.112,0.104,0.784,0.145,0.161,6.60,999.00
135,Runner,0.119,0.104,0.778,0.000,0.000,0.00,0.00
136,Pursuer,0.118,0.110,0.772,0.133,0.156,0.00,154.00
137,Draw,0.117,0.109,0.774,0.147,0.154,0.00,999.00
138,Draw,0.116,0.109,0.775,0.143,0.147,3.52,999.00
139,Runner,0.122,0.108,0.770,0.143,0.155,6.02,771.00
140,Draw,0.121,0.107,0.771,0.149,0.146,0.00,999.00
141,Draw,0.121,0.106,0.773,0.148,0.162,9.88,999.00
142,Draw,0.120,0.106,0.775,0.151,0.151,0.00,999.00
143,Draw,0.119,0.105,0.776,0.152,0.153,0.00,999.00
144,Pursuer,0.118,0.111,0.771,0.000,0.000,0.00,0.00
145,Draw,0.117,0.110,0.772,0.158,0.146,6.40,999.00
146,Draw,0.116,0.110,0.774,0.152,0.142,0.00,999.00
147,Draw,0.116,0.109,0.776,0.145,0.160,0.00,999.00
148,Pursuer,0.115,0.115,0.770,0.161,0.188,0.00,148.00
149,Draw,0.114,0.114,0.772,0.144,0.156,11.60,999.00
150,Draw,0.113,0.113,0.773,0.162,0.146,0.00,999.00
151,Draw,0.113,0.113,0.775,0.145,0.150,19.98,999.00
152,Pursuer,0.112,0.118,0.770,0.141,0.128,0.00,91.00
153,Pursuer,0.111,0.124,0.765,0.139,0.106,0.00,8.00
154,Draw,0.110,0.123,0.766,0.149,0.151,0.00,999.00
155,Draw,0.110,0.123,0.768,0.146,0.143,4.98,999.00
156,Pursuer,0.109,0.128,0.763,0.151,0.131,0.00,546.00
157,Draw,0.108,0.127,0.764,0.149,0.152,19.72,999.00
158,Pursuer,0.108,0.133,0.759,0.000,0.000,0.00,0.00
159,Draw,0.107,0.132,0.761,0.145,0.148,2.36,999.00
160,Runner,0.113,0.131,0.756,0.148,0.148,0.00,318.00
161,Draw,0.112,0.130,0.758,0.139,0.148,0.00,999.00
162,Draw,0.111,0.130,0.759,0.157,0.159,0.00,999.00
163,Draw,0.110,0.129,0.761,0.156,0.144,1.88,999.00
164,Draw,0.110,0.128,0.762,0.147,0.158,0.00,999.00
165,Pursuer,0.109,0.133,0.758,0.000,0.000,0.00,0.00
166,Draw,0.108,0.133,0.759,0.143,0.148,0.00,999.00
167,Draw,0.108,0.132,0.760,0.148,0.149,0.00,999.00
168,Draw,0.107,0.131,0.762,0.152,0.149,0.00,999.00
169,Draw,0.107,0.130,0.763,0.144,0.124,0.00,999.00
170,Runner,0.112,0.129,0.759,0.156,0.158,0.00,649.00
171,Draw,0.111,0.129,0.760,0.140,0.149,0.00,999.00
172,Draw,0.110,0.128,0.762,0.148,0.146,2.88,999.00
173,Draw,0.110,0.127,0.763,0.159,0.150,0.00,999.00
174,Pursuer,0.109,0.132,0.759,0.157,0.136,0.00,298.00
175,Draw,0.109,0.131,0.760,0.153,0.138,0.00,999.00
176,Draw,0.108,0.131,0.761,0.147,0.154,3.08,999.00
177,Draw,0.107,0.130,0.763,0.158,0.166,0.00,999.00
178,Draw,0.107,0.129,0.764,0.147,0.142,0.00,999.00
179,Draw,0.106,0.128,0.765,0.155,0.160,11.68,999.00
180,Pursuer,0.106,0.133,0.761,0.152,0.141,0.00,604.00
181,Draw,0.105,0.133,0.762,0.147,0.146,0.00,999.00
182,Draw,0.104,0.132,0.764,0.148,0.142,0.00,999.00
183,Draw,0.104,0.131,0.765,0.151,0.155,0.00,999.00
184,Draw,0.103,0.130,0.766,0.150,0.153,0.00,999.00
185,Runner,0.108,0.130,0.762,0.181,0.467,0.00,3.00
186,Draw,0.108,0.129,0.763,0.146,0.153,0.52,999.00
187,Draw,0.107,0.128,0.765,0.142,0.164,0.00,999.00
188,Draw,0.106,0.128,0.766,0.144,0.152,0.00,999.00
189,Draw,0.106,0.127,0.767,0.145,0.160,0.00,999.00
190,Draw,0.105,0.126,0.768,0.151,0.145,0.00,999.00
191,Pursuer,0.105,0.131,0.764,0.152,0.120,0.00,144.00
192,Draw,0.104,0.130,0.766,0.144,0.155,0.00,999.00
193,Runner,0.109,0.130,0.762,0.341,0.093,0.00,3.00
194,Pursuer,0.108,0.134,0.758,0.140,0.152,0.00,815.00
195,Draw,0.108,0.133,0.759,0.148,0.153,0.00,999.00
196,Draw,0.107,0.133,0.760,0.157,0.146,0.00,999.00
197,Draw,0.107,0.132,0.761,0.132,0.150,0.00,999.00
198,Draw,0.106,0.131,0.763,0.143,0.160,0.00,999.00
199,Draw,0.106,0.131,0.764,0.148,0.155,0.00,999.00
200,Runner,0.110,0.130,0.760,0.158,0.140,0.00,129.00
201,Draw,0.109,0.129,0.761,0.148,0.142,11.64,999.00
202,Pursuer,0.109,0.134,0.757,0.000,0.000,0.00,0.00
203,Pursuer,0.108,0.138,0.754,0.149,0.142,0.00,673.00
204,Pursuer,0.108,0.142,0.750,0.163,0.147,0.00,447.00
