Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime
104,Draw,0.058,0.135,0.808,0.145,0.163, 5.80
105,Draw,0.057,0.133,0.810,0.148,0.146, 0.00
106,Draw,0.057,0.132,0.811,0.144,0.142, 0.00
107,Draw,0.056,0.131,0.813,0.154,0.154, 0.00
108,Draw,0.056,0.130,0.815,0.154,0.151, 0.00
109,Pursuer,0.055,0.138,0.807,0.153,0.158, 0.00
110,Draw,0.055,0.136,0.809,0.154,0.154, 0.00
111,Runner,0.063,0.135,0.802,0.000,0.000, 0.00
112,Pursuer,0.063,0.143,0.795,0.000,0.000, 0.00
113,Draw,0.062,0.142,0.796,0.164,0.149, 19.98
114,Draw,0.061,0.140,0.798,0.143,0.149, 0.00
115,Pursuer,0.061,0.148,0.791,0.000,0.000, 0.00
116,Draw,0.060,0.147,0.793,0.157,0.142, 0.00
117,Draw,0.060,0.145,0.795,0.156,0.150, 9.00
118,Pursuer,0.059,0.153,0.788,0.151,0.162, 0.00
119,Runner,0.067,0.151,0.782,0.144,0.142, 5.20
120,Pursuer,0.067,0.158,0.775,0.168,0.140, 0.00
121,Runner,0.074,0.157,0.769,0.164,0.142, 8.06
122,Draw,0.074,0.156,0.770,0.151,0.149, 0.00
123,Draw,0.073,0.154,0.772,0.166,0.159, 3.80
124,Draw,0.073,0.153,0.774,0.153,0.149, 0.00
125,Draw,0.072,0.152,0.776,0.136,0.149, 1.86
126,Draw,0.071,0.151,0.778,0.146,0.163, 13.16
127,Draw,0.071,0.150,0.780,0.150,0.146, 0.00
128,Draw,0.070,0.148,0.781,0.142,0.158, 0.00
129,Draw,0.070,0.147,0.783,0.161,0.151, 0.00
130,Draw,0.069,0.146,0.785,0.152,0.145, 0.00
131,Draw,0.069,0.145,0.786,0.160,0.145, 0.00
132,Draw,0.068,0.144,0.788,0.139,0.145, 8.54
133,Draw,0.068,0.143,0.789,0.158,0.171, 0.00
134,Draw,0.067,0.142,0.791,0.136,0.150, 0.00
135,Pursuer,0.067,0.148,0.785,0.149,0.151, 0.00
136,Draw,0.066,0.147,0.787,0.143,0.165, 0.00
137,Pursuer,0.066,0.153,0.781,0.153,0.144, 0.00
138,Pursuer,0.065,0.159,0.775,0.163,0.144, 0.00
139,Draw,0.065,0.158,0.777,0.153,0.148, 0.00
140,Draw,0.064,0.157,0.779,0.158,0.164, 2.40
141,Draw,0.064,0.156,0.780,0.145,0.151, 0.00
142,Draw,0.063,0.155,0.782,0.161,0.144, 3.18
143,Draw,0.063,0.154,0.783,0.158,0.141, 0.26
144,Draw,0.063,0.153,0.785,0.154,0.141, 16.30
145,Draw,0.062,0.152,0.786,0.145,0.138, 0.10
146,Draw,0.062,0.151,0.788,0.147,0.146, 0.00
147,Draw,0.061,0.150,0.789,0.157,0.152, 3.14
148,Pursuer,0.061,0.155,0.784,0.140,0.142, 0.00
149,Draw,0.060,0.154,0.785,0.141,0.152, 0.00
150,Pursuer,0.060,0.160,0.780,0.163,0.138, 0.00
151,Pursuer,0.060,0.166,0.775,0.147,0.140, 0.00
152,Draw,0.059,0.164,0.776,0.153,0.163, 17.04
153,Pursuer,0.059,0.170,0.771,0.126,0.152, 0.00
154,Draw,0.058,0.169,0.773,0.149,0.158, 12.44
155,Pursuer,0.058,0.174,0.768,0.154,0.158, 0.00
156,Pursuer,0.058,0.179,0.763,0.148,0.154, 0.00
157,Pursuer,0.057,0.185,0.758,0.130,0.155, 0.00
158,Runner,0.063,0.184,0.753,0.148,0.154, 14.28
159,Runner,0.069,0.182,0.748,0.066,0.021, 0.00
160,Pursuer,0.069,0.188,0.744,0.142,0.181, 0.00
161,Draw,0.068,0.186,0.745,0.161,0.147, 0.00
162,Draw,0.068,0.185,0.747,0.150,0.146, 4.96
163,Draw,0.067,0.184,0.748,0.154,0.150, 5.42
164,Draw,0.067,0.183,0.750,0.147,0.152, 0.00
165,Draw,0.067,0.182,0.752,0.146,0.149, 14.22
166,Draw,0.066,0.181,0.753,0.151,0.138, 0.00
167,Draw,0.066,0.180,0.754,0.153,0.148, 0.00
168,Draw,0.065,0.179,0.756,0.150,0.153, 0.98
169,Draw,0.065,0.178,0.757,0.162,0.149, 13.90
170,Pursuer,0.065,0.182,0.753,0.148,0.149, 0.00
171,Pursuer,0.064,0.187,0.749,0.143,0.162, 0.00
172,Draw,0.064,0.186,0.750,0.147,0.158, 0.00
173,Draw,0.064,0.185,0.751,0.145,0.165, 10.04
174,Draw,0.063,0.184,0.753,0.135,0.143, 0.00
175,Runner,0.069,0.183,0.749,0.148,0.150, 0.00
176,Draw,0.068,0.182,0.750,0.137,0.150, 0.00
177,Draw,0.068,0.181,0.751,0.152,0.153, 0.00
178,Runner,0.073,0.180,0.747,0.140,0.149, 6.82
179,Draw,0.073,0.179,0.749,0.143,0.154, 15.20
180,Runner,0.078,0.178,0.744,0.142,0.156, 0.00
181,Draw,0.077,0.177,0.746,0.154,0.147, 0.00
182,Draw,0.077,0.176,0.747,0.146,0.140, 13.16
183,Draw,0.077,0.175,0.749,0.154,0.149, 0.00
184,Draw,0.076,0.174,0.750,0.148,0.161, 0.00
185,Pursuer,0.076,0.178,0.746,0.140,0.155, 0.00
186,Draw,0.075,0.177,0.747,0.152,0.146, 1.36
187,Draw,0.075,0.176,0.749,0.155,0.161, 0.00
188,Draw,0.074,0.176,0.750,0.141,0.165, 9.06
189,Draw,0.074,0.175,0.751,0.149,0.153, 10.72
190,Pursuer,0.074,0.179,0.747,0.161,0.170, 0.00
191,Draw,0.073,0.178,0.749,0.145,0.134, 10.90
192,Pursuer,0.073,0.182,0.745,0.213,0.505, 0.00
193,Draw,0.073,0.181,0.746,0.147,0.143, 3.92
194,Draw,0.072,0.180,0.747,0.152,0.149, 0.00
195,Pursuer,0.072,0.185,0.744,0.140,0.151, 0.00
196,Draw,0.071,0.184,0.745,0.155,0.148, 0.00
197,Pursuer,0.071,0.188,0.741,0.000,0.000, 0.00
198,Pursuer,0.071,0.192,0.737,0.145,0.156, 0.00
199,Pursuer,0.070,0.196,0.734,0.154,0.146, 0.00
200,Pursuer,0.070,0.200,0.730,0.085,0.085, 0.00
201,Draw,0.070,0.199,0.731,0.150,0.143, 11.26
202,Runner,0.074,0.198,0.728,0.124,0.152, 4.62
203,Pursuer,0.074,0.202,0.724,0.140,0.157, 0.00
204,Draw,0.074,0.201,0.725,0.155,0.150, 4.30
205,Draw,0.073,0.200,0.727,0.141,0.148, 6.90
206,Draw,0.073,0.199,0.728,0.149,0.145, 0.00
207,Draw,0.072,0.198,0.729,0.153,0.152, 19.98
208,Runner,0.077,0.197,0.726,0.161,0.149, 0.00
209,Draw,0.077,0.196,0.727,0.153,0.150, 0.00
